id,device_type,search_name,brand,model,release_date,eco_rating,durability,repairability,recyclability,climate_efficiency,resource_efficiency,ram_human,storage_human,ram,storage,model_number_info,label_version
4221,Smartphone,Huawei Nova 10 Pro GLA-LX3,Huawei,Nova 10 Pro,2022-07,74,36,55,65,43,87,8 GB,256 GB,8,256,GLA-LX3,1
4222,Smartphone,MobiWire NEVA SPARKLE GH5028,MobiWire,NEVA SPARKLE,2022-06,80,62,87,66,67,83,1 GB,8 GB,1,8,GH5028,1
4223,Smartphone,Motorola Moto g42 XT2233-1,Motorola,Moto g42,2022-05,77,58,67,80,59,83,4 GB,128 GB,4,128,XT2233-1,1
4224,Smartphone,Motorola Moto g62 5G XT2223-1,Motorola,Moto g62 5G,2022-06,78,53,68,71,62,83,4 GB,128 GB,4,128,XT2223-1,1
4225,Smartphone,Motorola Edge 30 fusion XT2243-1,Motorola,Edge 30 fusion,2022-07,74,43,63,80,51,82,8 GB,128 GB,8,128,XT2243-1,1
4226,Smartphone,Motorola Moto g62 5G XT2223-1,Motorola,Moto g62 5G,2022-06,78,53,68,71,62,83,4 GB,64 GB,4,64,XT2223-1,1
4227,Smartphone,Motorola Edge 30 Neo XT2245-1,Motorola,Edge 30 Neo,2022-08,75,58,67,80,51,83,8 GB,256 GB,8,256,XT2245-1,1
4228,Smartphone,Motorola Edge 30 Neo XT2245-1,Motorola,Edge 30 Neo,2022-09,75,58,67,80,53,83,8 GB,128 GB,8,128,XT2245-1,1
4229,Smartphone,Motorola Moto e22 XT2239-17,Motorola,Moto e22,2022-09,74,48,64,79,57,79,2 GB,64 GB,2,64,XT2239-17,1
4230,Smartphone,Motorola Moto e22 XT2239-16,Motorola,Moto e22,2022-10,76,48,64,79,62,79,2 GB,32 GB,2,32,XT2239-16,1
4231,Smartphone,Motorola Moto e22 XT2239-10,Motorola,Moto e22,2022-08,74,48,64,79,55,79,4 GB,64 GB,4,64,XT2239-10,1
4232,Smartphone,Motorola Moto e22 XT2239-11,Motorola,Moto e22,2022-10,76,48,64,79,61,79,3 GB,32 GB,3,32,XT2239-11,1
